,REPURCHASE_QUARTER,LOAN_COUNT
0,2000-03-01,11
1,2000-06-01,132
2,2000-09-01,122
3,2000-12-01,164
4,2001-03-01,256
5,2001-06-01,433
6,2001-09-01,452
7,2001-12-01,663
8,2002-03-01,660
9,2002-06-01,655
10,2002-09-01,774
11,2002-12-01,1023
12,2003-03-01,1148
13,2003-06-01,866
14,2003-09-01,1015
15,2003-12-01,973
16,2004-03-01,1228
17,2004-06-01,918
18,2004-09-01,683
19,2004-12-01,522
20,2005-03-01,709
21,2005-06-01,762
22,2005-09-01,1016
23,2005-12-01,564
24,2006-03-01,636
25,2006-06-01,614
26,2006-09-01,765
27,2006-12-01,1294
28,2007-03-01,946
29,2007-06-01,828
30,2007-09-01,308
31,2007-12-01,260
32,2008-03-01,355
33,2008-06-01,287
34,2008-09-01,272
35,2008-12-01,261
36,2009-03-01,266
37,2009-06-01,433
38,2009-09-01,518
39,2009-12-01,648
40,2010-03-01,697
41,2010-06-01,751
42,2010-09-01,665
43,2010-12-01,947
44,2011-03-01,752
45,2011-06-01,1171
46,2011-09-01,1912
47,2011-12-01,1732
48,2012-03-01,1409
49,2012-06-01,1793
50,2012-09-01,1729
51,2012-12-01,1799
52,2013-03-01,13985
53,2013-06-01,1703
54,2013-09-01,799
55,2013-12-01,669
56,2014-03-01,800
57,2014-06-01,1334
58,2014-09-01,1235
59,2014-12-01,1001
60,2015-03-01,992
61,2015-06-01,1104
62,2015-09-01,966
63,2015-12-01,656
64,2016-03-01,580
65,2016-06-01,544
66,2016-09-01,393
67,2016-12-01,289
68,2017-03-01,314
69,2017-06-01,447
70,2017-09-01,294
71,2017-12-01,301
72,2018-03-01,353
73,2018-06-01,365
74,2018-09-01,372
75,2018-12-01,332
76,2019-03-01,346
77,2019-06-01,346
78,2019-09-01,519
79,2019-12-01,487
80,2020-03-01,475
81,2020-06-01,731
82,2020-09-01,1677
83,2020-12-01,1083
84,2021-03-01,1124
85,2021-06-01,1217
86,2021-09-01,1443
87,2021-12-01,1336
88,2022-03-01,1582
89,2022-06-01,2138
90,2022-09-01,2100
